review,rating,date,bank,source
It is nice app,5,2025-11-26,CBE,google_play
best,5,2025-11-25,CBE,google_play
good app,5,2025-11-25,CBE,google_play
"it suddenly asked me to enter the verification key I received. and it (*get your verification key from the nearest CBE Branch*) Now I'm in Australia, what do you expect me to do???! There is no nearest or furthermost cbe Branch!! SO FRUSTRATING! How can I manage my bank account now????",1,2025-11-25,CBE,google_play
nice app...,5,2025-11-25,CBE,google_play
very good banking service and fast service,5,2025-11-24,CBE,google_play
thanks blc this app help me to use all time,5,2025-11-24,CBE,google_play
good,5,2025-11-24,CBE,google_play
why we can't send money to other people telebirr wallets??,1,2025-11-24,CBE,google_play
አታፍሩም ግን ለ15 birr 11.50 ብር ስትቆርጡ ይስተካከልልን,1,2025-11-23,CBE,google_play
በጣም ቀላልና ምቹ ነው።,5,2025-11-23,CBE,google_play
wow,5,2025-11-23,CBE,google_play
good,5,2025-11-23,CBE,google_play
nice,5,2025-11-22,CBE,google_play
you are the reason why i got ye chogara himem,1,2025-11-22,CBE,google_play
it is so smart app i recommend it for everyone,5,2025-11-22,CBE,google_play
excellent,5,2025-11-22,CBE,google_play
good,5,2025-11-21,CBE,google_play
ዳጊ,5,2025-11-21,CBE,google_play
absolutely right,5,2025-11-21,CBE,google_play
good app,5,2025-11-21,CBE,google_play
mid application it's so annoying,3,2025-11-20,CBE,google_play
I used morethan one year,4,2025-11-20,CBE,google_play
no word can explane about this app it is nice 👍👍👍👍👍,5,2025-11-20,CBE,google_play
"It's great app,I love this app",5,2025-11-20,CBE,google_play
Nice,5,2025-11-19,CBE,google_play
suckkkks,1,2025-11-19,CBE,google_play
not allowing to transfer and showing current statement updates.,1,2025-11-19,CBE,google_play
I love you this app,5,2025-11-19,CBE,google_play
"fast and convenient app, thanks for your dedication as a bank to provide good options to your cuatomers.",1,2025-11-19,CBE,google_play
make life easy,5,2025-11-19,CBE,google_play
securr,5,2025-11-19,CBE,google_play
My most optional bank,5,2025-11-17,CBE,google_play
5 star,5,2025-11-17,CBE,google_play
it is fantastic app.,5,2025-11-16,CBE,google_play
excellent,5,2025-11-16,CBE,google_play
sifen,5,2025-11-16,CBE,google_play
i like this√,4,2025-11-16,CBE,google_play
Ok,3,2025-11-16,CBE,google_play
ጥሩ App ነዉ ። የኔ የግል አስተያየት- Update ወይንም cache cleaning app ሲደረግ ለምንድነዉ ደግመን login ስናደርግ Restricted ሚያደርገዉ ቢስተካከል እንደ ሀሳብ ጥሩ ነዉ። በዛላይ ድጋሚ አክቲቬት ለማስደረግ ከፍለን ..,5,2025-11-15,CBE,google_play
"Seriously, what’s going on with this app? The ""Pay to Beneficiary"" option is completely disabled for Android users, yet iOS users get full access without restrictions. Why are Android users being treated like second class customers? It’s the same app, the same service, but clearly not the same experience. This kind of platform bias is unacceptable, either give everyone the same features or be transparent about why you’re limiting functionality. Right now, it just feels unfair and frustrating.",1,2025-11-15,CBE,google_play
Like,5,2025-11-13,CBE,google_play
Nice and very useful app i like it!,5,2025-11-13,CBE,google_play
good,5,2025-11-13,CBE,google_play
Good,5,2025-11-13,CBE,google_play
Good,5,2025-11-13,CBE,google_play
smart app,4,2025-11-12,CBE,google_play
good App,5,2025-11-12,CBE,google_play
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-11-12,CBE,google_play
ok,5,2025-11-11,CBE,google_play
cbe is my choice,4,2025-11-11,CBE,google_play
Awesome,5,2025-11-11,CBE,google_play
I am not able to transfer. The app is not responding,1,2025-11-11,CBE,google_play
Very convenient App,5,2025-11-11,CBE,google_play
